	tag	model	upsampling	n_components	fold	accuracy	test_set	thr_features
170	RESULT	LogisticRegression()	1	16	1	0.5	L1323,Control	False
171	RESULT	RandomForestClassifier()	1	16	1	0.5	L1323,Control	False
172	RESULT	XGBClassifier(base_score=None, booster=None, callbacks=None,              colsample_bylevel=None, colsample_bynode=None,              colsample_bytree=None, device=None, early_stopping_rounds=None,              enable_categorical=False, eval_metric=None, feature_types=None,              feature_weights=None, gamma=None, grow_policy=None,              importance_type=None, interaction_constraints=None,              learning_rate=1, max_bin=None, max_cat_threshold=None,              max_cat_to_onehot=None, max_delta_step=None, max_depth=3,              max_leaves=None, min_child_weight=None, missing=nan,              monotone_constraints=None, multi_strategy=None, n_estimators=100,              n_jobs=None, num_parallel_tree=None, ...)	1	16	1	0.5	L1323,Control	False
173	RESULT	GridSearchCV(estimator=KNeighborsClassifier(), n_jobs=1,             param_grid={'metric': ['minkowski', 'euclidean', 'manhattan',                                    'chebyshev', 'hamming', 'jaccard'],                         'n_neighbors': [3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23,                                         25, 27, 29, 31, 33, 35, 37, 39, 41, 43,                                         45, 47, 49],                         'p': [1, 2, 3], 'weights': ['uniform', 'distance']})	1	16	1	0.5	L1323,Control	False
102	RESULT	DummyClassifier()	1	16	2	0.5	L1323,Control	False
174	RESULT	DummyClassifier()	1	16	2	0.5	L1323,Control	False
176	RESULT	LogisticRegression()	1	16	2	0.5	L1323,Control	False
177	RESULT	RandomForestClassifier()	1	16	2	0.5	L1323,Control	False
178	RESULT	XGBClassifier(base_score=None, booster=None, callbacks=None,              colsample_bylevel=None, colsample_bynode=None,              colsample_bytree=None, device=None, early_stopping_rounds=None,              enable_categorical=False, eval_metric=None, feature_types=None,              feature_weights=None, gamma=None, grow_policy=None,              importance_type=None, interaction_constraints=None,              learning_rate=1, max_bin=None, max_cat_threshold=None,              max_cat_to_onehot=None, max_delta_step=None, max_depth=3,              max_leaves=None, min_child_weight=None, missing=nan,              monotone_constraints=None, multi_strategy=None, n_estimators=100,              n_jobs=None, num_parallel_tree=None, ...)	1	16	2	0.5	L1323,Control	False
179	RESULT	GridSearchCV(estimator=KNeighborsClassifier(), n_jobs=1,             param_grid={'metric': ['minkowski', 'euclidean', 'manhattan',                                    'chebyshev', 'hamming', 'jaccard'],                         'n_neighbors': [3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23,                                         25, 27, 29, 31, 33, 35, 37, 39, 41, 43,                                         45, 47, 49],                         'p': [1, 2, 3], 'weights': ['uniform', 'distance']})	1	16	2	0.5	L1323,Control	False
180	RESULT	DummyClassifier()	1	18	0	0.5	L1323,Control	True
183	RESULT	RandomForestClassifier()	1	18	0	0.5	L1323,Control	True
184	RESULT	XGBClassifier(base_score=None, booster=None, callbacks=None,              colsample_bylevel=None, colsample_bynode=None,              colsample_bytree=None, device=None, early_stopping_rounds=None,              enable_categorical=False, eval_metric=None, feature_types=None,              feature_weights=None, gamma=None, grow_policy=None,              importance_type=None, interaction_constraints=None,              learning_rate=1, max_bin=None, max_cat_threshold=None,              max_cat_to_onehot=None, max_delta_step=None, max_depth=3,              max_leaves=None, min_child_weight=None, missing=nan,              monotone_constraints=None, multi_strategy=None, n_estimators=100,              n_jobs=None, num_parallel_tree=None, ...)	1	18	0	0.5	L1323,Control	True
185	RESULT	GridSearchCV(estimator=KNeighborsClassifier(), n_jobs=1,             param_grid={'metric': ['minkowski', 'euclidean', 'manhattan',                                    'chebyshev', 'hamming', 'jaccard'],                         'n_neighbors': [3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23,                                         25, 27, 29, 31, 33, 35, 37, 39, 41, 43,                                         45, 47, 49],                         'p': [1, 2, 3], 'weights': ['uniform', 'distance']})	1	18	0	0.5	L1323,Control	True
186	RESULT	DummyClassifier()	1	18	1	0.5	L1323,Control	True
187	RESULT	DecisionTreeClassifier()	1	18	1	0.5	L1323,Control	True
175	RESULT	DecisionTreeClassifier()	1	16	2	0.5	L1323,Control	False
101	RESULT	GridSearchCV(estimator=KNeighborsClassifier(), n_jobs=1,             param_grid={'metric': ['minkowski', 'euclidean', 'manhattan',                                    'chebyshev', 'hamming', 'jaccard'],                         'n_neighbors': [3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23,                                         25, 27, 29, 31, 33, 35, 37, 39, 41, 43,                                         45, 47, 49],                         'p': [1, 2, 3], 'weights': ['uniform', 'distance']})	1	16	1	0.5	L1323,Control	False
107	RESULT	GridSearchCV(estimator=KNeighborsClassifier(), n_jobs=1,             param_grid={'metric': ['minkowski', 'euclidean', 'manhattan',                                    'chebyshev', 'hamming', 'jaccard'],                         'n_neighbors': [3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23,                                         25, 27, 29, 31, 33, 35, 37, 39, 41, 43,                                         45, 47, 49],                         'p': [1, 2, 3], 'weights': ['uniform', 'distance']})	1	16	2	0.5	L1323,Control	False
99	RESULT	RandomForestClassifier()	1	16	1	0.5	L1323,Control	False
33	RESULT	RandomForestClassifier()	1	16	2	0.5	L1323,Control	False
34	RESULT	XGBClassifier(base_score=None, booster=None, callbacks=None,              colsample_bylevel=None, colsample_bynode=None,              colsample_bytree=None, device=None, early_stopping_rounds=None,              enable_categorical=False, eval_metric=None, feature_types=None,              feature_weights=None, gamma=None, grow_policy=None,              importance_type=None, interaction_constraints=None,              learning_rate=1, max_bin=None, max_cat_threshold=None,              max_cat_to_onehot=None, max_delta_step=None, max_depth=3,              max_leaves=None, min_child_weight=None, missing=nan,              monotone_constraints=None, multi_strategy=None, n_estimators=100,              n_jobs=None, num_parallel_tree=None, ...)	1	16	2	0.5	L1323,Control	False
35	RESULT	GridSearchCV(estimator=KNeighborsClassifier(), n_jobs=1,             param_grid={'metric': ['minkowski', 'euclidean', 'manhattan',                                    'chebyshev', 'hamming', 'jaccard'],                         'n_neighbors': [3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23,                                         25, 27, 29, 31, 33, 35, 37, 39, 41, 43,                                         45, 47, 49],                         'p': [1, 2, 3], 'weights': ['uniform', 'distance']})	1	16	2	0.5	L1323,Control	False
36	RESULT	DummyClassifier()	1	18	0	0.5	L1323,Control	True
37	RESULT	DecisionTreeClassifier()	1	18	0	0.5	L1323,Control	True
39	RESULT	RandomForestClassifier()	1	18	0	0.5	L1323,Control	True
40	RESULT	XGBClassifier(base_score=None, booster=None, callbacks=None,              colsample_bylevel=None, colsample_bynode=None,              colsample_bytree=None, device=None, early_stopping_rounds=None,              enable_categorical=False, eval_metric=None, feature_types=None,              feature_weights=None, gamma=None, grow_policy=None,              importance_type=None, interaction_constraints=None,              learning_rate=1, max_bin=None, max_cat_threshold=None,              max_cat_to_onehot=None, max_delta_step=None, max_depth=3,              max_leaves=None, min_child_weight=None, missing=nan,              monotone_constraints=None, multi_strategy=None, n_estimators=100,              n_jobs=None, num_parallel_tree=None, ...)	1	18	0	0.5	L1323,Control	True
41	RESULT	GridSearchCV(estimator=KNeighborsClassifier(), n_jobs=1,             param_grid={'metric': ['minkowski', 'euclidean', 'manhattan',                                    'chebyshev', 'hamming', 'jaccard'],                         'n_neighbors': [3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23,                                         25, 27, 29, 31, 33, 35, 37, 39, 41, 43,                                         45, 47, 49],                         'p': [1, 2, 3], 'weights': ['uniform', 'distance']})	1	18	0	0.5	L1323,Control	True
42	RESULT	DummyClassifier()	1	18	1	0.5	L1323,Control	True
43	RESULT	DecisionTreeClassifier()	1	18	1	0.5	L1323,Control	True
44	RESULT	LogisticRegression()	1	18	1	0.5	L1323,Control	True
