sampleName	Unnamed: 0	 	LabelObj	Surface(Pix)	Surface(Unit)	SurfaceCorr(Pix)	SurfaceNbPix	Channel	Frame
18042023_s_Lm_st_L394_p_C03_C04_tm_24_ch_Syto9_z_11_	3674.7000000000003	3675.7000000000003	3686.7000000000003	28311.000000000004	2649.237	302.667	4738.800000000001	1.0	1.0
18042023_s_Lm_st_L394_p_C03_C04_tm_24_ch_Syto9_z_21_	3672.9	3673.9	3685.9	63047.0	3133.8371	851.8667000000002	10550.0	1.0	1.0
18042023_s_Lm_st_L394_p_C05_C06_tm_24_ch_Syto9_z_11_	3674.7000000000003	3675.7000000000003	3686.7000000000003	33952.800000000025	3178.0169000000024	395.60010000000034	5677.500000000004	1.0	1.0
18042023_s_Lm_st_L394_p_C05_C06_tm_24_ch_Syto9_z_21_	3344.4	3345.4	3368.4	88210.4	4384.3684	1414.9330000000004	14770.8	1.0	1.0
18042023_s_Lm_st_L394_p_C07_C08_tm_24_ch_Syto9_z_11_	3672.0	3673.0	3687.0	27408.0	2565.108	298.667	4585.0	1.0	1.0
18042023_s_Lm_st_L394_p_C07_C08_tm_24_ch_Syto9_z_21_	3396.6	3397.6	3441.6	81984.4	4074.3662	1254.6665999999993	13732.199999999999	1.0	1.0
18042023_s_Lm_st_L394_p_C07_tm_24_ch_Syto9_z_21_t_3_	3673.8	3674.8	3686.8	83371.20000000001	4143.698	1306.667	13957.400000000001		
18042023_s_Lm_st_L394_p_D05_D04_tm_24_ch_Syto9_z_11_	3671.1	3672.1	3687.1	35414.0	3314.9084999999995	429.4663999999999	5922.4	1.0	1.0
18042023_s_Lm_st_L394_p_D05_D04_tm_24_ch_Syto9_z_21_	3663.0	3664.0	3688.0	94728.0	4708.694	1428.0	15861.0	1.0	1.0
18042023_s_Lm_st_L394_p_D08_D06_tm_24_ch_Syto9_z_11_	3666.6	3667.6	3687.6	33008.399999999994	3088.6139999999996	392.0	5522.6	1.0	1.0
18042023_s_Lm_st_L394_p_D08_D06_tm_24_ch_Syto9_z_21_	3663.0	3664.0	3688.0	83598.0	4154.838	1260.0	13985.0	1.0	1.0
25042023_s_Lm_st_19115_p_C03_C04_tm_24_ch_Syto9_z_11_	3582.9	3583.9	3595.9	15102.200000000004	1413.0655000000004	120.0	2524.3000000000006	1.0	1.0
25042023_s_Lm_st_19115_p_C03_C04_tm_24_ch_Syto9_z_21_	2599.2000000000003	2600.2000000000003	2695.2000000000003	44362.800000000054	2204.577200000003	575.1998000000025	7424.400000000009	1.0	1.0
25042023_s_Lm_st_19115_p_C05_C06_tm_24_ch_Syto9_z_11_	3675.6	3676.6	3686.6	16616.4	1554.86	138.39999999999964	2776.6	1.0	1.0
25042023_s_Lm_st_19115_p_C05_C06_tm_24_ch_Syto9_z_21_	2956.5	2957.5	3111.0	32149.0	1597.6975	367.33349999999996	5376.5	1.0	1.0
25042023_s_Lm_st_19115_p_C07_C08_tm_24_ch_Syto9_z_11_	3675.6	3676.6	3686.6	14874.799999999981	1391.5181999999982	120.0	2485.5999999999967	1.0	1.0
25042023_s_Lm_st_19115_p_C07_C08_tm_24_ch_Syto9_z_11_position_6_	3336.3	3337.3	3357.3	18343.600000000002	1716.6446000000003	170.53300000000073	3066.3		
25042023_s_Lm_st_19115_p_C07_C08_tm_24_ch_Syto9_z_21_	3077.1	3078.1	3092.1	39199.39999999999	1948.3581999999992	423.33359999999936	6550.999999999997	1.0	1.0
25042023_s_Lm_st_19115_p_D05_D04_tm_24_ch_Syto9_z_11_	3676.5	3677.5	3686.5	15121.0	1415.1775	117.3335	2524.5	1.0	1.0
25042023_s_Lm_st_19115_p_D05_D04_tm_24_ch_Syto9_z_21_	3323.7000000000003	3324.7000000000003	3349.7000000000003	32357.400000000067	1608.0624000000032	320.0	5409.000000000011	1.0	1.0
25042023_s_Lm_st_19115_p_D07_D06_tm_24_ch_Syto9_z_11_	3676.5	3677.5	3686.5	17519.0	1640.0645	140.0	2925.5	1.0	1.0
25042023_s_Lm_st_19115_p_D07_D06_tm_24_ch_Syto9_z_21_	3467.7000000000003	3468.7000000000003	3480.7000000000003	42409.60000000002	2107.6381000000006	421.8669000000007	7088.500000000004	1.0	1.0
28032023_s_Lm_st_L455_p_C04_C05_tm_24_ch_Syto9_z_11_	3674.7000000000003	3675.7000000000003	3686.7000000000003	20287.600000000028	1898.3104000000028	176.0	3394.2000000000016	1.0	1.0
