sampleName	Unnamed: 0	 	Area	Mean	Min	Max	Frame	LabelObj	Volume(Pix)	Volume(Unit)	Channel
18042023_s_Lm_st_L394_p_D05_D04_tm_24_ch_Syto9_z_11_	0	1	0.0	0.0	0	0	0.0	0	0	0.0	0.0
18042023_s_Lm_st_L394_p_D05_D04_tm_24_ch_Syto9_z_21_	0	1	0.0	0.0	0	0	0.0	0	0	0.0	0.0
18042023_s_Lm_st_L394_p_D08_D06_tm_24_ch_Syto9_z_11_	0	1	0.0	0.0	0	0	0.0	0	0	0.0	0.0
18042023_s_Lm_st_L394_p_D08_D06_tm_24_ch_Syto9_z_21_	0	1	0.0	0.0	0	0	0.0	0	0	0.0	0.0
25042023_s_Lm_st_19115_p_C03_C04_tm_24_ch_Syto9_z_11_	0	1	0.0	0.0	0	0	0.0	0	0	0.0	0.0
25042023_s_Lm_st_19115_p_C03_C04_tm_24_ch_Syto9_z_21_	0	1	0.0	0.0	0	0	0.0	0	0	0.0	0.0
25042023_s_Lm_st_19115_p_C05_C06_tm_24_ch_Syto9_z_11_	0	1	0.0	0.0	0	0	0.0	0	0	0.0	0.0
25042023_s_Lm_st_19115_p_C05_C06_tm_24_ch_Syto9_z_21_	0	1	0.0	0.0	0	0	0.0	0	0	0.0	0.0
25042023_s_Lm_st_19115_p_C07_C08_tm_24_ch_Syto9_z_11_	0	1	0.0	0.0	0	0	0.0	0	0	0.0	0.0
25042023_s_Lm_st_19115_p_C07_C08_tm_24_ch_Syto9_z_11_position_6_	0	1	0.0	0.0	0	0		0	0	0.0	
25042023_s_Lm_st_19115_p_C07_C08_tm_24_ch_Syto9_z_21_	0	1	0.0	0.0	0	0	0.0	0	0	0.0	0.0
25042023_s_Lm_st_19115_p_D05_D04_tm_24_ch_Syto9_z_11_	0	1	0.0	0.0	0	0	0.0	0	0	0.0	0.0
25042023_s_Lm_st_19115_p_D05_D04_tm_24_ch_Syto9_z_21_	0	1	0.0	0.0	0	0	0.0	0	0	0.0	0.0
25042023_s_Lm_st_19115_p_D07_D06_tm_24_ch_Syto9_z_11_	0	1	0.0	0.0	0	0	0.0	0	0	0.0	0.0
25042023_s_Lm_st_19115_p_D07_D06_tm_24_ch_Syto9_z_21_	0	1	0.0	0.0	0	0	0.0	0	0	0.0	0.0
28032023_s_Lm_st_L455_p_C04_C05_tm_24_ch_Syto9_z_11_	0	1	0.0	0.0	0	0	0.0	0	0	0.0	0.0
28032023_s_Lm_st_L455_p_C04_C05_tm_24_ch_Syto9_z_21_	0	1	0.0	0.0	0	0	0.0	0	0	0.0	0.0
28032023_s_Lm_st_L455_p_C06_C07_tm_24_ch_Syto9_z_11_	0	1	0.0	0.0	0	0	0.0	0	0	0.0	0.0
28032023_s_Lm_st_L455_p_C06_C07_tm_24_ch_Syto9_z_21_	0	1	0.0	0.0	0	0	0.0	0	0	0.0	0.0
28032023_s_Lm_st_L455_p_C08_D08_tm_24_ch_Syto9_z_11_	0	1	0.0	0.0	0	0	0.0	0	0	0.0	0.0
28032023_s_Lm_st_L455_p_C08_D08_tm_24_ch_Syto9_z_21_	0	1	0.0	0.0	0	0	0.0	0	0	0.0	0.0
28032023_s_Lm_st_L455_p_D04_D03_tm_24_ch_Syto9_z_11_	0	1	0.0	0.0	0	0	0.0	0	0	0.0	0.0
28032023_s_Lm_st_L455_p_D04_D03_tm_24_ch_Syto9_z_21_	0	1	0.0	0.0	0	0	0.0	0	0	0.0	0.0
28032023_s_Lm_st_L455_p_D07_D06_tm_24_ch_Syto9_z_11_	0	1	0.0	0.0	0	0	0.0	0	0	0.0	0.0
28032023_s_Lm_st_L455_p_D07_D06_tm_24_ch_Syto9_z_21_	0	1	0.0	0.0	0	0	0.0	0	0	0.0	0.0
