group	name	true	predicted	decision makers
L1823	04072023--s--Lm--st--L1823--p--G04--pos--1--tm--0--ch--BF	L1823	L1323	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 73.00040237893087), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 38.3658017648565), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 27.546066889835043), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 3.803685853347665), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 2.303610345401559)]
L1823	04072023--s--Lm--st--L1823--p--G04--pos--2--tm--0--ch--BF	L1823	L1323	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 71.71465652195063), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 38.1876384885462), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 27.43746197164609), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 3.5407946008196207), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 1.7852995520364519)]
L1823	04072023--s--Lm--st--L1823--p--G04--pos--3--tm--0--ch--BF	L1823	L1323	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 60.293896639589214), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 40.83683767946947), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 24.362589428547707), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 21.649209160781904), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 16.018432548878245)]
L1823	04072023--s--Lm--st--L1823--p--G05--pos--1--tm--0--ch--BF	L1823	L1323	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 73.00040237893087), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 38.3658017648565), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 27.37647170394656), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 3.803685853347665), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 2.303610345401559)]
L1823	04072023--s--Lm--st--L1823--p--G05--pos--3--tm--0--ch--BF	L1823	L1323	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 76.04965655208291), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 38.08774815621646), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 27.794622173018464), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 3.7579301702771453), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 1.9831560079471535)]
L1823	04072023--s--Lm--st--L1823--p--G06--pos--1--tm--0--ch--BF	L1823	L1323	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 57.18824985010791), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 26.234407093022718), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 24.937481730129704), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 8.62356819305794), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 4.185746970101402)]
L1823	04072023--s--Lm--st--L1823--p--G06--pos--2--tm--0--ch--BF	L1823	L1323	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 76.04965655208291), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 38.08774815621646), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 27.794622173018464), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 3.7579301702771453), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 1.9831560079471535)]
L1823	04072023--s--Lm--st--L1823--p--G06--pos--3--tm--0--ch--BF	L1823	L1323	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 71.71465652195063), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 38.1876384885462), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 27.43746197164609), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 3.5407946008196207), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 1.7852995520364519)]
L628	13042023--s--Lm--st--L628--p--C03--pos--1--tm--0--ch--BF	L628	L455	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 99.93427001583508), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 86.95140100339047), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 36.77924989835314), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_median.txt', 5.8985974520016216), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 1.6392507141746493)]
L628	13042023--s--Lm--st--L628--p--C03--pos--2--tm--0--ch--BF	L628	L455	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 122.65793964131277), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 108.19851821239502), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 72.54604206250396), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 6.524880438446865)]
L628	13042023--s--Lm--st--L628--p--C03--pos--3--tm--0--ch--BF	L628	L455	[('Unnamed: 0-SUMMARYCustomAlgos.tsv_mean.txt', 120.15615592903981), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_max.txt', 75.23701003920779), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_q10.txt', 60.093108168807746), ('Unnamed: 0-SUMMARYCustomAlgos.tsv_min.txt', 6.524880438446865)]
