	tag	model	upsampling	n_components	fold	accuracy	test_set	thr_features
13	RESULT	RandomForestClassifier()	1	2080	1	0.6567164179104478	L1323,L1823,L1823,L1823,L1823,L1823,L1823,L1823,L628,L628,L1764,L1764,L634,L634,L634,L634,L634,L634,L1323,L1323,L1323,L1323,L1323,L1764,L1764,L1764,L1764,L1764,L628,L628,L628,L628,L628,L394,L394,L394,L394,L394,L394,L394,L455,L455,L455,L455,L455,L455,L455,L394,L1323,L1323,L1823,L1823,19115,19115,19115,19115,19115,19115,L628,L628,19115,19115,L455,L455,L1764,L634,L634	False
14	RESULT	RandomForestClassifier()	1	2080	2	0.5151515151515151	L394,L394,L394,L394,L394,L394,L394,L394,L394,L1323,L1323,L1323,L1323,L1323,L1323,L1323,L1323,L1823,L1823,L1823,L1823,L1823,L1823,L1823,L1823,L628,L628,L628,L628,L628,L628,L628,L628,19115,19115,19115,19115,19115,19115,19115,19115,L455,L455,L455,L455,L455,L455,L455,L455,L1764,L1764,L1764,L1764,L1764,L1764,L1764,L1764,L1764,L634,L634,L634,L634,L634,L634,L634,L634	False
15	RESULT	DummyClassifier()	1	2080	0	0.11940298507462686	L1323,L1323,L1323,L1323,L1323,L1323,L1323,L1323,L1323,L1823,L1823,L1823,L1823,L1823,L1823,L1823,L1823,L394,L394,L394,L394,L394,L634,L634,L634,L634,L634,L628,L628,L628,L628,L628,L628,L628,L628,L1764,L1764,L1764,L1764,L1764,L1764,L1764,L1764,L634,L634,L634,L634,19115,19115,19115,19115,19115,L455,L455,L455,L455,L455,L394,L394,L394,L455,L455,L455,19115,19115,19115,19115	False
16	RESULT	DummyClassifier()	1	2080	1	0.11940298507462686	L1323,L1823,L1823,L1823,L1823,L1823,L1823,L1823,L628,L628,L1764,L1764,L634,L634,L634,L634,L634,L634,L1323,L1323,L1323,L1323,L1323,L1764,L1764,L1764,L1764,L1764,L628,L628,L628,L628,L628,L394,L394,L394,L394,L394,L394,L394,L455,L455,L455,L455,L455,L455,L455,L394,L1323,L1323,L1823,L1823,19115,19115,19115,19115,19115,19115,L628,L628,19115,19115,L455,L455,L1764,L634,L634	False
17	RESULT	DummyClassifier()	1	2080	2	0.12121212121212122	L394,L394,L394,L394,L394,L394,L394,L394,L394,L1323,L1323,L1323,L1323,L1323,L1323,L1323,L1323,L1823,L1823,L1823,L1823,L1823,L1823,L1823,L1823,L628,L628,L628,L628,L628,L628,L628,L628,19115,19115,19115,19115,19115,19115,19115,19115,L455,L455,L455,L455,L455,L455,L455,L455,L1764,L1764,L1764,L1764,L1764,L1764,L1764,L1764,L1764,L634,L634,L634,L634,L634,L634,L634,L634	False
18	RESULT	RandomForestClassifier()	1	580	0	0.31343283582089554	L1323,L1323,L1323,L1323,L1323,L1323,L1323,L1323,L1323,L1823,L1823,L1823,L1823,L1823,L1823,L1823,L1823,L394,L394,L394,L394,L394,L634,L634,L634,L634,L634,L628,L628,L628,L628,L628,L628,L628,L628,L1764,L1764,L1764,L1764,L1764,L1764,L1764,L1764,L634,L634,L634,L634,19115,19115,19115,19115,19115,L455,L455,L455,L455,L455,L394,L394,L394,L455,L455,L455,19115,19115,19115,19115	False
19	RESULT	RandomForestClassifier()	1	580	1	0.43283582089552236	L1323,L1823,L1823,L1823,L1823,L1823,L1823,L1823,L628,L628,L1764,L1764,L634,L634,L634,L634,L634,L634,L1323,L1323,L1323,L1323,L1323,L1764,L1764,L1764,L1764,L1764,L628,L628,L628,L628,L628,L394,L394,L394,L394,L394,L394,L394,L455,L455,L455,L455,L455,L455,L455,L394,L1323,L1323,L1823,L1823,19115,19115,19115,19115,19115,19115,L628,L628,19115,19115,L455,L455,L1764,L634,L634	False
20	RESULT	RandomForestClassifier()	1	580	2	0.4090909090909091	L394,L394,L394,L394,L394,L394,L394,L394,L394,L1323,L1323,L1323,L1323,L1323,L1323,L1323,L1323,L1823,L1823,L1823,L1823,L1823,L1823,L1823,L1823,L628,L628,L628,L628,L628,L628,L628,L628,19115,19115,19115,19115,19115,19115,19115,19115,L455,L455,L455,L455,L455,L455,L455,L455,L1764,L1764,L1764,L1764,L1764,L1764,L1764,L1764,L1764,L634,L634,L634,L634,L634,L634,L634,L634	False
21	RESULT	DummyClassifier()	1	580	0	0.11940298507462686	L1323,L1323,L1323,L1323,L1323,L1323,L1323,L1323,L1323,L1823,L1823,L1823,L1823,L1823,L1823,L1823,L1823,L394,L394,L394,L394,L394,L634,L634,L634,L634,L634,L628,L628,L628,L628,L628,L628,L628,L628,L1764,L1764,L1764,L1764,L1764,L1764,L1764,L1764,L634,L634,L634,L634,19115,19115,19115,19115,19115,L455,L455,L455,L455,L455,L394,L394,L394,L455,L455,L455,19115,19115,19115,19115	False
22	RESULT	DummyClassifier()	1	580	1	0.11940298507462686	L1323,L1823,L1823,L1823,L1823,L1823,L1823,L1823,L628,L628,L1764,L1764,L634,L634,L634,L634,L634,L634,L1323,L1323,L1323,L1323,L1323,L1764,L1764,L1764,L1764,L1764,L628,L628,L628,L628,L628,L394,L394,L394,L394,L394,L394,L394,L455,L455,L455,L455,L455,L455,L455,L394,L1323,L1323,L1823,L1823,19115,19115,19115,19115,19115,19115,L628,L628,19115,19115,L455,L455,L1764,L634,L634	False
