	Unnamed: 0	globalMean	mdiffs	maxdiffs	mindiffs	eigen	sampleName
0	0	537.7029495693389	-34.11332392692566	-4.00975513458252	-144.86402130126953	1.0	13042023--s--Lm--st--L628--p--D04--pos003--tm--24--ch--Syto9--z--21
0	0	434.2469560532343	-18.3957935333252	65.50139904022217	-43.40828704833984	1.0	30052023--s--Lm--st--L1764--p--G05--pos004--tm--24--ch--Syto9--z--21
0	0	319.46507944379533	-21.301693630218505	33.517459869384766	-40.69590950012207	1.0	16052023--s--Lm--st--L394--p--D03--pos005--tm--24--ch--Syto9--z--21
0	0	1206.921498344058	-45.505909252166745	115.62272262573242	-81.7558126449585	1.0	14112023--s--Lm--st--L1764--p--G04--pos003--tm--24--ch--Syto9--z--21
0	0	286.33651592617946	-30.277648639678954	-10.284476280212402	-82.38431930541992	1.0	18072023--s--Lm--st--L1323--p--B04--pos002--tm--24--ch--Syto9--z--21
0	0	261.29408495766774	-13.887705945968628	34.497694969177246	-26.39951992034912	1.0	16052023--s--Lm--st--L394--p--D05--pos002--tm--24--ch--Syto9--z--21
0	0	183.72882125491188	-30.77350234985352	-1.6037874221801758	-107.12156677246094	1.0	25042023--s--Lm--st--19115--p--D04--pos001--tm--24--ch--Syto9--z--21
0	0	626.2826772871472	-28.475681447982787	15.179716110229492	-135.47015857696533	1.0	18072023--s--Lm--st--L1823--p--E05--pos005--tm--24--ch--Syto9--z--21
0	0	352.5570877620152	-47.65888223648072	-8.42966365814209	-164.52848052978516	1.0	30052023--s--Lm--st--L634--p--C06--pos003--tm--24--ch--Syto9--z--21
0	0	345.0227647508894	-32.76575860977173	-4.286810874938965	-82.16071128845215	1.0	04072023--s--Lm--st--L1823--p--G04--pos002--tm--24--ch--Syto9--z--21
0	0	804.5459147862026	-50.117651033401486	-30.910539627075195	-67.79743957519531	1.0	13062023--s--Lm--st--L1764--p--F06--pos002--tm--24--ch--Syto9--z--21
0	0	174.02028247288294	-20.37566032409668	9.94872760772705	-76.69939613342285	1.0	23052023--s--Lm--st--19115--p--F04--pos001--tm--24--ch--Syto9--z--21
0	0	907.2567874363492	-42.97276663780213	38.662291526794434	-75.39535331726074	1.0	14112023--s--Lm--st--L1764--p--F04--pos001--tm--24--ch--Syto9--z--21
0	0	574.2397722970871	-66.01912627220153	-4.771933555603027	-179.35435962677002	1.0	13042023--s--Lm--st--L628--p--C05--pos002--tm--24--ch--Syto9--z--21
0	0	946.596610977536	-64.49351830482483	-18.048768043518063	-218.85561752319336	1.0	13042023--s--Lm--st--L628--p--D05--pos005--tm--24--ch--Syto9--z--21
0	0	413.1075473058792	-27.14228043556213	0.9262361526489258	-109.1752290725708	1.0	23052023--s--Lm--st--L628--p--D03--pos003--tm--24--ch--Syto9--z--21
